teamID,teamMultiID,teamName,category,topPlayerIDTrait,junglePlayerIDTrait,midPlayeIDTraitr,adPlayerIDTrait,supPlayerIDTrait,managerSet,match,win,rateVsPoint,
1000000,,KT,18K,11011000000000 ,11012000000000 ,11013000000000 ,11014000000000 ,11015000000000 ,100411111,0,0,0,
1000001,,그리핀,18K,11031000000000 ,11032000000000 ,11033000000000 ,11034000000000 ,11035000000000 ,100411111,0,0,0,
1000002,,아프리카,18K,11021000000000 ,11022000000000 ,11023000000000 ,11024000000000 ,11025000000000 ,100411111,0,0,0,
1000003,,킹존,18K,11041000000000 ,11042000000000 ,11043000000000 ,11044000000000 ,11045000000000 ,100411111,0,0,0,
1000004,,젠지,18K,11051000000000 ,11052000000000 ,11053000000000 ,11054000000000 ,11055000000000 ,100411111,0,0,0,
1000005,,한화,18K,11061000000000 ,11062000000000 ,11063000000000 ,11064000000000 ,11065000000000 ,100411111,0,0,0,
1000006,,SKT,18K,11071000000000 ,11072000000000 ,11073000000000 ,11074000000000 ,11075000000000 ,100411111,0,0,0,
1000007,,진에어,18K,11081000000000 ,11082000000000 ,11083000000000 ,11084000000000 ,11085000000000 ,100411111,0,0,0,
1000008,,MVP,18K,11091000000000 ,11092000000000 ,11093000000000 ,11094000000000 ,11095000000000 ,100411111,0,0,0,
1000009,,BBQ,18K,11101000000000 ,11102000000000 ,11103000000000 ,11104000000000 ,11105000000000 ,100411111,0,0,0,
1000100,,SKT,19SK,20001000000000 ,20002000000000 ,20003000000000 ,20004000000000 ,20005000000000 ,100411111,0,0,0,
1000101,,그리핀,19SK,12031000000000 ,12032000000000 ,12033000000000 ,12034000000000 ,12035000000000 ,100411111,0,0,0,
1000102,,킹존,19SK,12041000000000 ,12042000000000 ,12043000000000 ,12044000000000 ,12045000000000 ,100411111,0,0,0,
1000103,,담원,19SK,12091000000000 ,12092000000000 ,12093000000000 ,12094000000000 ,12095000000000 ,100411111,0,0,0,
1000104,,샌드박스,19SK,12101000000000 ,12102000000000 ,12103000000000 ,12104000000000 ,12105000000000 ,100411111,0,0,0,
1000105,,한화,19SK,12061000000000 ,12062000000000 ,12063000000000 ,12064000000000 ,12065000000000 ,100411111,0,0,0,
1000106,,젠지,19SK,12051000000000 ,12052000000000 ,12053000000000 ,12054000000000 ,12055000000000 ,100411111,0,0,0,
1000107,,아프리카,19SK,12021000000000 ,12022000000000 ,12023000000000 ,12024000000000 ,12025000000000 ,100411111,0,0,0,
1000108,,KT,19SK,12011000000000 ,12012000000000 ,12013000000000 ,12014000000000 ,12015000000000 ,100411111,0,0,0,
1000109,,진에어,19SK,12081000000000 ,12082000000000 ,12083000000000 ,12084000000000 ,12085000000000 ,100411111,0,0,0,
1000200,,SKT,19MK,20201000000000 ,20202000000000 ,20203000000000 ,20204000000000 ,20205000000000 ,100411111,0,0,0,
1000201,,그리핀,19MK,20206000000000 ,20207000000000 ,20208000000000 ,20209000000000 ,20210000000000 ,100411111,0,0,0,
1000202,,담원,19MK,20211000000000 ,20212000000000 ,20213000000000 ,20214000000000 ,20215000000000 ,100411111,0,0,0,
1000203,,샌드박스,19MK,20101000000000 ,13102000000000 ,20106000000000 ,13104000000000 ,13105000000000 ,100411111,0,0,0,
1000204,,아프리카,19MK,13021000000000 ,20104000000000 ,13023000000000 ,20108000000000 ,13025000000000 ,100411111,0,0,0,
1000205,,젠지,19MK,13051000000000 ,13052000000000 ,13053000000000 ,20109000000000 ,13055000000000 ,100411111,0,0,0,
1000206,,킹존,19MK,20102000000000 ,13042000000000 ,13043000000000 ,13044000000000 ,20110000000000 ,100411111,0,0,0,
1000207,,KT,19MK,13011000000000 ,13012000000000 ,20107000000000 ,13014000000000 ,13015000000000 ,100411111,0,0,0,
1000208,,한화,19MK,13061000000000 ,13062000000000 ,13063000000000 ,13064000000000 ,13065000000000 ,100411111,0,0,0,
1000209,,진에어,19MK,13081000000000 ,13082000000000 ,13083000000000 ,13084000000000 ,13085000000000 ,100411111,0,0,0,
1000300,IvF5OGX2EgTfdZfaB711NaG5eSq1,개집,19RANK,11041162611123 ,11042161718142 ,11043163104146 ,11044161711219 ,11045161315215 ,010400000,4657,2946,377087,
1000301,wbzG5E0NmlhbCBjXvjsaBnDTTfu1,눈썹미아,19RANK,20216164900008 ,20217164801009 ,20218164900009 ,20219164900009 ,20220164900008 ,312400000,12294,12203,375152,
1000302,hreN8lQkAdSJdFzCGaAcON98OVn2,순얼해자,19RANK,20216160636079 ,20217160626179 ,20218160736069 ,20219160736069 ,20220160736069 ,320122212,5673,5589,357712,
1000303,vJxI4mQPicPJ22bWvzK5RBsMrXr1,킹스레옹,19RANK,11041161332044 ,11042161035043 ,20301152123013 ,13044151127086 ,11045160037127 ,320122212,811,633,330364,
1000304,fcoCSI4gkqhPurGKbO236pPgKf32,양양,19RANK,20216100031006 ,20217100029002 ,20218100030002 ,20219100031002 ,20220100030005 ,320122212,2024,1900,303540,
1000305,cbxPxA9iNgXtd8PXsIBEHuhaY4G2,울산화암고,19RANK,20216070312071 ,20217070009131 ,20218070413051 ,20219070611051 ,20220070117030 ,320122122,820,628,299385,
1000306,GpBc6ahMqeONMQA4JCMmwQtXssg1,IG,19RANK,11031060019005 ,11032050018002 ,11033060019005 ,11034060018001 ,11035060019004 ,320122222,531,292,288645,
1000307,QQfwxBwIMjhgLtXIORYimHttdH73,딱딱이,19RANK,11031160049009 ,11032160049008 ,11033160049008 ,11034160049009 ,11035160049009 ,320122222,371,349,284342,
1000308,diJ115rebwZ7TtgG529rgDbf8Hq1,양양,19RANK,20216060411041 ,20217060112050 ,13073060810015 ,20219060511033 ,20220060411040 ,320401222,766,455,283335,
1000309,OjDUzFGgfsdSurs7x3pSk7nD0zG2,SKTT1,19RANK,20216080024000 ,20217090017090 ,20218070022000 ,20219070024000 ,20220090420030 ,010400000,916,772,275193,
1000400,,KT,20SK,10071000000000 ,10072000000000 ,10073000000000 ,20403000000000 ,10075000000000 ,100411111,0,0,0,
1000401,,아프리카,20SK,10001000000000 ,10002000000000 ,10003000000000 ,10004000000000 ,10005000000000 ,100411111,0,0,0,
1000402,,그리핀,20SK,10051000000000 ,10052000000000 ,10053000000000 ,10054000000000 ,10055000000000 ,100411111,0,0,0,
1000403,,드래곤X,20SK,10031000000000 ,10032000000000 ,10033000000000 ,10034000000000 ,10035000000000 ,100411111,0,0,0,
1000404,,젠지,20SK,10041000000000 ,20401000000000 ,20402000000000 ,10044000000000 ,10045000000000 ,100411111,0,0,0,
1000405,,한화,20SK,10061000000000 ,10062000000000 ,10063000000000 ,10064000000000 ,10065000000000 ,100411111,0,0,0,
1000406,,SKT,20SK,20500000000000 ,20501000000000 ,20502000000000 ,20503000000000 ,20504000000000 ,100411111,0,0,0,
1000407,,APK,20SK,10011000000000 ,10012000000000 ,10013000000000 ,10014000000000 ,10015000000000 ,100411111,0,0,0,
1000408,,담원,20SK,20400000000000 ,10022000000000 ,10023000000000 ,10024000000000 ,10025000000000 ,100411111,0,0,0,
1000409,,샌드박스,20SK,10081000000000 ,10082000000000 ,10083000000000 ,10084000000000 ,10085000000000 ,100411111,0,0,0,
1000500,,Excel,20SE,10101000000000 ,10102000000000 ,10103000000000 ,10104000000000 ,10105000000000 ,100411111,0,0,0,
1000501,,Schalke,20SE,10111000000000 ,10112000000000 ,10113000000000 ,10114000000000 ,10115000000000 ,100411111,0,0,0,
1000502,,Fnatic,20SE,10121000000000 ,10122000000000 ,10123000000000 ,10124000000000 ,20409000000000 ,100411111,0,0,0,
1000503,,G2,20SE,20505000000000 ,20506000000000 ,20507000000000 ,20508000000000 ,20509000000000 ,100411111,0,0,0,
1000504,,MAD,20SE,10141000000000 ,10142000000000 ,10143000000000 ,10144000000000 ,10145000000000 ,100411111,0,0,0,
1000505,,Misfits,20SE,10151000000000 ,10152000000000 ,10153000000000 ,10154000000000 ,10155000000000 ,100411111,0,0,0,
1000506,,Origen,20SE,20406000000000 ,10162000000000 ,10163000000000 ,10164000000000 ,10165000000000 ,100411111,0,0,0,
1000507,,Rogue,20SE,10171000000000 ,10172000000000 ,10173000000000 ,10174000000000 ,10175000000000 ,100411111,0,0,0,
1000508,,SK,20SE,10181000000000 ,10182000000000 ,10183000000000 ,10184000000000 ,10185000000000 ,100411111,0,0,0,
1000509,,Vitality,20SE,10191000000000 ,10192000000000 ,10193000000000 ,10194000000000 ,10195000000000 ,100411111,0,0,0,
1000600,,100T,20SN,10201000000000 ,10202000000000 ,10203000000000 ,10204000000000 ,10205000000000 ,100411111,0,0,0,
1000601,,CLG,20SN,10211000000000 ,10212000000000 ,10213000000000 ,10214000000000 ,10215000000000 ,100411111,0,0,0,
1000602,,C9,20SN,20510000000000 ,20511000000000 ,20512000000000 ,20513000000000 ,20514000000000 ,100411111,0,0,0,
1000603,,Dignitas,20SN,10231000000000 ,10232000000000 ,10233000000000 ,10234000000000 ,10235000000000 ,100411111,0,0,0,
1000604,,EG,20SN,10241000000000 ,10242000000000 ,10243000000000 ,10244000000000 ,10245000000000 ,100411111,0,0,0,
1000605,,FlyQuest,20SN,10251000000000 ,10252000000000 ,10253000000000 ,10254000000000 ,10255000000000 ,100411111,0,0,0,
1000606,,GG,20SN,10261000000000 ,10262000000000 ,10263000000000 ,10264000000000 ,10265000000000 ,100411111,0,0,0,
1000607,,IMT,20SN,10271000000000 ,10272000000000 ,10273000000000 ,10274000000000 ,10275000000000 ,100411111,0,0,0,
1000608,,Liquid,20SN,10281000000000 ,10282000000000 ,10283000000000 ,10284000000000 ,10285000000000 ,100411111,0,0,0,
1000609,,TSM,20SN,10291000000000 ,10292000000000 ,10293000000000 ,10294000000000 ,10295000000000 ,100411111,0,0,0,
